11:08:44:411, Door added customer.
11:08:44:538, Door added customer.
11:08:44:664, Door added customer.
11:08:44:788, Door added customer.
11:08:44:915, Door added customer.
11:08:45:40, Door added customer.
11:08:45:162, Door added customer.
11:08:45:283, Door added customer.
11:08:45:406, Door added customer.
11:08:45:531, Door added customer.
11:08:45:613, Thread-6: Customer 0 is now eating.
11:08:45:654, Door added customer.
11:08:45:738, Thread-3: Customer 1 is now eating.
11:08:45:778, Door added customer.
11:08:45:866, Thread-0: Customer 2 is now eating.
11:08:45:901, Door added customer.
11:08:45:996, Thread-2: Customer 3 is now eating.
11:08:46:23, Door added customer.
11:08:46:117, Thread-1: Customer 4 is now eating.
11:08:46:145, Door added customer.
11:08:46:239, Thread-5: Customer 5 is now eating.
11:08:46:271, Door added customer.
11:08:46:364, Thread-4: Customer 6 is now eating.
11:14:14:54, Waitress fetched customer 0
11:14:14:16, Door added customer.
11:14:14:218, Thread-4: Customer 0 is ordering sushi.
11:14:14:272, Waitress fetched customer 1
11:14:14:276, Door added customer.
11:14:14:381, Thread-6: Customer 1 is ordering sushi.
11:14:14:435, Waitress fetched customer 2
11:14:14:435, Door added customer.
11:14:14:502, Thread-5: Customer 2 is ordering sushi.
11:14:14:565, Waitress fetched customer 3
11:14:14:567, Door added customer.
11:14:14:641, Thread-3: Customer 3 is ordering sushi.
11:14:14:695, Door added customer.
11:14:14:695, Waitress fetched customer 4
11:14:14:769, Thread-2: Customer 4 is ordering sushi.
11:14:14:822, Waitress fetched customer 5
11:14:14:822, Door added customer.
11:14:14:900, Thread-0: Customer 5 is ordering sushi.
11:14:14:961, Door added customer.
11:14:14:961, Waitress fetched customer 6
11:14:15:30, Thread-1: Customer 6 is ordering sushi.
11:14:15:87, Door added customer.
11:14:15:212, Door added customer.
11:14:15:336, Door added customer.
11:14:15:460, Door added customer.
11:14:15:583, Door added customer.
11:14:15:705, Door added customer.
11:14:15:828, Door added customer.
11:14:15:950, Door added customer.
11:14:16:73, Door added customer.
11:14:16:196, Door added customer.
11:14:16:321, Door added customer.
11:14:16:443, Door added customer.
11:14:16:568, Door added customer.
11:14:16:689, Door added customer.
11:14:16:812, Door added customer.
11:14:16:814, Thread-4: Customer 0 is now eating.
11:14:16:888, Thread-6: Customer 1 is now eating.
11:14:16:936, Door added customer.
11:14:17:06, Thread-5: Customer 2 is now eating.
11:14:17:59, Door added customer.
11:14:17:149, Thread-3: Customer 3 is now eating.
11:14:17:181, Door added customer.
11:14:17:289, Thread-2: Customer 4 is now eating.
11:14:17:307, Door added customer.
11:14:17:403, Thread-0: Customer 5 is now eating.
11:14:17:436, Door added customer.
11:14:17:534, Thread-1: Customer 6 is now eating.
11:16:39:526, Door added customer.
11:16:39:571, Waitress fetched customer 0
11:16:39:648, Thread-2: Customer 0 is now eating.
11:16:39:706, Waitress fetched customer 1
11:16:39:713, Door added customer.
11:16:39:788, Thread-5: Customer 1 is now eating.
11:16:39:862, Waitress fetched customer 2
11:16:39:866, Door added customer.
11:16:39:930, Thread-6: Customer 2 is now eating.
11:16:39:992, Waitress fetched customer 3
11:16:39:998, Door added customer.
11:16:40:69, Thread-3: Customer 3 is now eating.
11:16:40:134, Waitress fetched customer 4
11:16:40:138, Door added customer.
11:16:40:219, Thread-0: Customer 4 is now eating.
11:16:40:288, Waitress fetched customer 5
11:16:40:288, Door added customer.
11:16:40:350, Thread-4: Customer 5 is now eating.
11:16:40:411, Door added customer.
11:16:40:411, Waitress fetched customer 6
11:16:40:482, Thread-1: Customer 6 is now eating.
11:16:40:536, Door added customer.
11:16:40:659, Door added customer.
11:16:40:782, Door added customer.
11:16:40:904, Door added customer.
11:16:41:27, Door added customer.
11:16:41:149, Door added customer.
11:16:41:271, Door added customer.
11:16:41:394, Door added customer.
11:16:41:516, Door added customer.
11:16:41:638, Door added customer.
11:16:41:761, Door added customer.
